"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Bronx","1","LCL/LTD","BX30","Peak","5,293","8,711","60.762256%"
"2020-01-01","Bronx","2","LCL/LTD","BX30","Off-Peak","3,315","4,676","70.893925%"
"2020-01-01","Bronx","2","LCL/LTD","BX30","Peak","1,445","2,130","67.840374%"
"2020-01-01","Bronx","1","LCL/LTD","BX31","Off-Peak","7,857","9,571","82.091737%"
"2020-01-01","Bronx","1","LCL/LTD","BX31","Peak","3,283","4,779","68.69638%"
"2020-01-01","Bronx","2","LCL/LTD","BX31","Off-Peak","2,693","3,077","87.520313%"
"2020-01-01","Bronx","2","LCL/LTD","BX31","Peak","958","1,174","81.601363%"
"2020-01-01","Bronx","1","LCL/LTD","BX32","Off-Peak","5,599","7,604","73.6323%"
"2020-01-01","Bronx","1","LCL/LTD","BX32","Peak","2,917","4,703","62.02424%"
"2020-01-01","Bronx","2","LCL/LTD","BX32","Off-Peak","1,505","1,972","76.31846%"
"2020-01-01","Bronx","2","LCL/LTD","BX32","Peak","644","953","67.576075%"
"2020-01-01","Bronx","1","LCL/LTD","BX33","Off-Peak","5,058","5,930","85.29511%"
"2020-01-01","Bronx","1","LCL/LTD","BX33","Peak","2,018","3,016","66.909814%"
"2020-01-01","Bronx","2","LCL/LTD","BX33","Off-Peak","1,400","1,662","84.23586%"
"2020-01-01","Bronx","2","LCL/LTD","BX33","Peak","631","794","79.471034%"
"2020-01-01","Bronx","1","LCL/LTD","BX34","Off-Peak","5,537","7,273","76.130897%"
"2020-01-01","Bronx","1","LCL/LTD","BX34","Peak","1,733","3,201","54.139334%"
"2020-01-01","Bronx","2","LCL/LTD","BX34","Off-Peak","2,069","2,640","78.371215%"
"2020-01-01","Bronx","2","LCL/LTD","BX34","Peak","936","1,110","84.324324%"
"2020-01-01","Bronx","1","LCL/LTD","BX35","Off-Peak","15,736","21,327","73.784405%"
"2020-01-01","Bronx","1","LCL/LTD","BX35","Peak","6,698","10,206","65.628064%"
"2020-01-01","Bronx","2","LCL/LTD","BX35","Off-Peak","5,980","8,111","73.727036%"
"2020-01-01","Bronx","2","LCL/LTD","BX35","Peak","2,247","3,162","71.06262%"
"2020-01-01","Bronx","1","LCL/LTD","BX36","Off-Peak","23,918","34,609","69.10919%"
"2020-01-01","Bronx","1","LCL/LTD","BX36","Peak","11,316","19,808","57.128435%"
"2020-01-01","Bronx","2","LCL/LTD","BX36","Off-Peak","9,567","13,112","72.963697%"
"2020-01-01","Bronx","2","LCL/LTD","BX36","Peak","3,789","5,212","72.69762%"
"2020-01-01","Bronx","1","LCL/LTD","BX38","Off-Peak","4,828","6,589","73.273635%"
"2020-01-01","Bronx","1","LCL/LTD","BX38","Peak","2,232","3,763","59.314376%"
"2020-01-01","Bronx","2","LCL/LTD","BX38","Off-Peak","2,131","2,809","75.863296%"
"2020-01-01","Bronx","2","LCL/LTD","BX38","Peak","848","1,204","70.431894%"
"2020-01-01","Bronx","1","LCL/LTD","BX39","Off-Peak","13,855","18,883","73.372877%"
"2020-01-01","Bronx","1","LCL/LTD","BX39","Peak","6,452","9,836","65.59577%"
"2020-01-01","Bronx","2","LCL/LTD","BX39","Off-Peak","5,994","7,921","75.67226%"
"2020-01-01","Bronx","2","LCL/LTD","BX39","Peak","2,386","3,211","74.30707%"
"2020-01-01","Bronx","1","LCL/LTD","BX4","Off-Peak","5,181","7,331","70.67249%"
"2020-01-01","Bronx","1","LCL/LTD","BX4","Peak","2,137","3,303","64.698756%"
"2020-01-01","Bronx","2","LCL/LTD","BX4","Off-Peak","2,466","3,276","75.274724%"
"2020-01-01","Bronx","2","LCL/LTD","BX4","Peak","870","1,154","75.389946%"
"2020-01-01","Bronx","1","LCL/LTD","BX40","Off-Peak","11,232","13,909","80.75347%"
"2020-01-01","Bronx","1","LCL/LTD","BX40","Peak","3,822","5,458","70.02565%"
"2020-01-01","Bronx","2","LCL/LTD","BX40","Off-Peak","4,344","5,420","80.1476%"
"2020-01-01","Bronx","2","LCL/LTD","BX40","Peak","1,464","1,790","81.78771%"
"2020-01-01","Bronx","1","LCL/LTD","BX41","Off-Peak","9,859","13,829","71.29221%"
"2020-01-01","Bronx","1","LCL/LTD","BX41","Peak","2,944","4,940","59.595144%"
"2020-01-01","Bronx","2","LCL/LTD","BX41","Off-Peak","4,505","5,833","77.232987%"
"2020-01-01","Bronx","2","LCL/LTD","BX41","Peak","1,560","2,037","76.58321%"
"2020-01-01","Bronx","1","SBS","BX41+","Off-Peak","1,882","2,447","76.9105%"
"2020-01-01","Bronx","1","SBS","BX41+","Peak","867","1,414","61.31542%"
"2020-01-01","Bronx","2","SBS","BX41+","Off-Peak","755","945","79.89418%"
"2020-01-01","Bronx","2","SBS","BX41+","Peak","386","486","79.42387%"
"2020-01-01","Bronx","1","LCL/LTD","BX42","Off-Peak","11,881","15,574","76.2874%"
"2020-01-01","Bronx","1","LCL/LTD","BX42","Peak","4,312","6,241","69.09149%"
"2020-01-01","Bronx","2","LCL/LTD","BX42","Off-Peak","4,401","5,463","80.56013%"
"2020-01-01","Bronx","2","LCL/LTD","BX42","Peak","1,531","2,038","75.122666%"
"2020-01-01","Bronx","1","LCL/LTD","BX46","Off-Peak","979","1,044","93.77395%"
"2020-01-01","Bronx","1","LCL/LTD","BX46","Peak","334","402","83.08458%"
"2020-01-01","Bronx","2","LCL/LTD","BX46","Off-Peak","384","421","91.2114%"
"2020-01-01","Bronx","2","LCL/LTD","BX46","Peak","116","124","93.54839%"
"2020-01-01","Bronx","1","LCL/LTD","BX4A","Off-Peak","4,281","6,093","70.260954%"
"2020-01-01","Bronx","1","LCL/LTD","BX4A","Peak","2,162","3,305","65.41604%"
"2020-01-01","Bronx","2","LCL/LTD","BX4A","Off-Peak","1,715","2,250","76.222223%"
"2020-01-01","Bronx","2","LCL/LTD","BX4A","Peak","806","1,023","78.78788%"
"2020-01-01","Bronx","1","LCL/LTD","BX5","Off-Peak","11,013","14,245","77.311337%"
"2020-01-01","Bronx","1","LCL/LTD","BX5","Peak","5,184","7,891","65.695095%"
"2020-01-01","Bronx","2","LCL/LTD","BX5","Off-Peak","5,790","7,328","79.012007%"
"2020-01-01","Bronx","2","LCL/LTD","BX5","Peak","2,151","2,911","73.892134%"
"2020-01-01","Bronx","1","LCL/LTD","BX6","Off-Peak","13,201","16,538","79.82223%"
"2020-01-01","Bronx","1","LCL/LTD","BX6","Peak","4,628","6,720","68.86905%"
"2020-01-01","Bronx","2","LCL/LTD","BX6","Off-Peak","5,466","6,478","84.377897%"
"2020-01-01","Bronx","2","LCL/LTD","BX6","Peak","1,864","2,259","82.51439%"
"2020-01-01","Bronx","1","SBS","BX6+","Off-Peak","2,043","2,279","89.64458%"
"2020-01-01","Bronx","1","SBS","BX6+","Peak","989","1,299","76.135486%"
"2020-01-01","Bronx","2","SBS","BX6+","Off-Peak","869","975","89.1282%"
"2020-01-01","Bronx","2","SBS","BX6+","Peak","445","499","89.17836%"
"2020-01-01","Bronx","1","LCL/LTD","BX7","Off-Peak","15,261","19,303","79.06025%"
"2020-01-01","Bronx","1","LCL/LTD","BX7","Peak","6,550","9,359","69.98611%"
"2020-01-01","Bronx","2","LCL/LTD","BX7","Off-Peak","6,077","8,322","73.023313%"
"2020-01-01","Bronx","2","LCL/LTD","BX7","Peak","2,494","3,290","75.805473%"
"2020-01-01","Bronx","1","LCL/LTD","BX8","Off-Peak","13,620","16,174","84.20923%"
"2020-01-01","Bronx","1","LCL/LTD","BX8","Peak","7,205","9,736","74.003696%"
"2020-01-01","Bronx","2","LCL/LTD","BX8","Off-Peak","3,271","3,941","82.99924%"
"2020-01-01","Bronx","2","LCL/LTD","BX8","Peak","1,535","1,902","80.70452%"
"2020-01-01","Bronx","1","LCL/LTD","BX9","Off-Peak","17,049","21,088","80.84693%"
"2020-01-01","Bronx","1","LCL/LTD","BX9","Peak","7,563","10,994","68.79207%"
"2020-01-01","Bronx","2","LCL/LTD","BX9","Off-Peak","6,613","8,100","81.64198%"
"2020-01-01","Bronx","2","LCL/LTD","BX9","Peak","2,671","3,264","81.832105%"
"2020-01-01","Bronx","1","EXP","BXM1","Off-Peak","2,582","3,052","84.600264%"
"2020-01-01","Bronx","1","EXP","BXM1","Peak","1,525","2,068","73.74275%"
"2020-01-01","Bronx","2","EXP","BXM1","Off-Peak","779","837","93.07049%"
"2020-01-01","Bronx","2","EXP","BXM1","Peak","346","370","93.51351%"
"2020-01-01","Bronx","1","EXP","BXM10","Off-Peak","2,287","2,488","91.92122%"
"2020-01-01","Bronx","1","EXP","BXM10","Peak","1,340","1,884","71.12526%"
"2020-01-01","Bronx","2","EXP","BXM10","Off-Peak","679","725","93.655175%"
"2020-01-01","Bronx","2","EXP","BXM10","Peak","268","290","92.413795%"
"2020-01-01","Bronx","1","EXP","BXM11","Off-Peak","1,646","1,953","84.28059%"
"2020-01-01","Bronx","1","EXP","BXM11","Peak","916","1,299","70.51578%"
"2020-01-01","Bronx","2","EXP","BXM11","Off-Peak","538","608","88.486844%"
"2020-01-01","Bronx","2","EXP","BXM11","Peak","217","238","91.17647%"
"2020-01-01","Bronx","1","EXP","BXM18","Off-Peak","190","210","90.47619%"
"2020-01-01","Bronx","1","EXP","BXM18","Peak","534","649","82.280433%"
"2020-01-01","Bronx","2","EXP","BXM18","Off-Peak","1","3","33.333334%"
"2020-01-01","Bronx","2","EXP","BXM18","Peak","9","14","64.285713%"
"2020-01-01","Bronx","1","EXP","BXM2","Off-Peak","2,138","2,575","83.02913%"
"2020-01-01","Bronx","1","EXP","BXM2","Peak","769","1,153","66.695577%"
"2020-01-01","Bronx","2","EXP","BXM2","Off-Peak","634","736","86.141306%"
"2020-01-01","Bronx","2","EXP","BXM2","Peak","252","297","84.84849%"
"2020-01-01","Bronx","1","EXP","BXM3","Off-Peak","1,682","1,895","88.759893%"
"2020-01-01","Bronx","1","EXP","BXM3","Peak","722","981","73.598367%"
"2020-01-01","Bronx","2","EXP","BXM3","Off-Peak","581","634","91.64038%"
"2020-01-01","Bronx","2","EXP","BXM3","Peak","201","230","87.391305%"
"2020-01-01","Bronx","1","EXP","BXM4","Off-Peak","1,014","1,262","80.34865%"
"2020-01-01","Bronx","1","EXP","BXM4","Peak","432","653","66.1562%"
"2020-01-01","Bronx","2","EXP","BXM4","Off-Peak","388","473","82.0296%"
"2020-01-01","Bronx","2","EXP","BXM4","Peak","167","190","87.89474%"
"2020-01-01","Bronx","1","EXP","BXM6","Off-Peak","920","1,121","82.06958%"
"2020-01-01","Bronx","1","EXP","BXM6","Peak","550","756","72.751325%"
"2020-01-01","Bronx","2","EXP","BXM6","Off-Peak","418","460","90.869564%"
"2020-01-01","Bronx","2","EXP","BXM6","Peak","134","150","89.33333%"
"2020-01-01","Bronx","1","EXP","BXM7","Off-Peak","5,238","5,865","89.309466%"
"2020-01-01","Bronx","1","EXP","BXM7","Peak","2,709","3,549","76.33136%"
